Country Name,Latitude (generated),Longitude (generated),GDP
Zimbabwe,-19.098,30.047,15891049200
Zambia,-15.13,25.268,27150630607.2032
"Yemen, Rep.",15.569,47.793,43228582065.2427
West Bank and Gaza,32.097,35.26,12715600000
Virgin Islands (U.S.),17.7289,-64.7592,3624000000
Vietnam,21.75,105.373,186204652922.262
"Venezuela, RB",6.983,-64.588,482359318767.703
Vanuatu,-15.339,166.89,814954306.971033
Uzbekistan,41.757,63.958,63067077178.5381
Uruguay,-32.948,-56.249,57236013086.1223
United States,40.0792,-98.8164,17427609000000
United Kingdom,52.289,-1.259,3022827781881.39
United Arab Emirates,23.9299,53.9031,403137100068.073
Ukraine,49.364,32.132,133503411375.739
Uganda,1.9392,32.7415,27291880326.6772
Tuvalu,-7.4786,178.6758,37290587.4998681
Turkmenistan,39.584,59.597,43524210526.3158
Turkey,39.144,34.188,934185915467.215
Tunisia,35.594,9.421,47587913058.8443
Trinidad and Tobago,10.4435,-61.2604,27199856454.1043
Tonga,-21.167,-175.19,443911052.254042
Togo,7.7,1.106,4482880424.13762
Timor-Leste,-8.856,125.556,4045377828.46133
Thailand,15.688,100.845,407339361695.577
Tanzania,-5.651,34.146,48219734752.1845
Tajikistan,38.367,72.597,9236309138.04277
Switzerland,46.7794,8.0329,709182559935.301
Sweden,66.2188,19,573817719109.402
Suriname,4.248,-55.848,5240606060.60606
Sudan,15.739,29.533,82151588418.8325
Sub-Saharan Africa (IDA & IBRD countries),,,1783849360621.76
Sub-Saharan Africa (excluding high income),,,1782506097763.29
Sub-Saharan Africa,,,1783849360621.76
St. Vincent and the Grenadines,13.2528,-61.1949,725185185.185185
St. Lucia,13.909,-60.9776,1551921037.03704
St. Kitts and Nevis,17.147,-62.58,847778185.185185
Sri Lanka,7.3,80.727,79359306575.5208
Spain,40.617,-3.388,1376910811040.88
South Sudan,7.1,30.48,15099661016.9492
South Asia (IDA & IBRD),,,2581994304111.25
South Asia,,,2581994304111.25
South Africa,-31.7,23.441,350904575292.317
Somalia,2.875,43.446,6568443572.8632
Solomon Islands,-9.5987,160.1487,1172268295.92617
Small states,,,528564730448.262
Slovenia,46.037,14.534,49904928335.3069
Slovak Republic,48.8595,19.4434,100948236941.182
Singapore,1.3389,103.8297,311539499644.858
Sierra Leone,8.677,-11.779,5015157815.728
Seychelles,-4.6841,55.4924,1342997305.5023
Serbia,44.021,20.699,44210806365.6817
Senegal,15.044,-15.081,15304363138.1804
Saudi Arabia,24.191,44.32,756350347333.334
Sao Tome and Principe,0.216,6.595,348941656.797257
San Marino,43.942,12.4611,1845561894.65304
Samoa,-13.6221,-172.439,803589511.754069
Rwanda,-1.887,29.904,8016591927.65923
Russian Federation,64.736,104.062,2063662665171.89
Romania,45.933,25.119,199493490982.921
Qatar,25.3174,51.1522,206224725274.725
Puerto Rico,18.242,-66.643,102445800000
Portugal,40.957,-7.9373,229629822121.601
Poland,52.442,19.72,545179584720.241
Philippines,17.181,121.256,284584522898.935
Peru,-12.664,-72.98,201080662205.002
Paraguay,-23.266,-58.409,30881166852.3116
Papua New Guinea,-5.636,142.798,23060047127.6509
Panama,8.348,-81.005,49921464400
Palau,7.5288,134.5573,245560300
Pakistan,28.1854,66.6429,244360888750.807
Pacific island small states,,,8798000774.99545
Other small states,,,447241690845.66
Oman,19.85,56.25,81076723016.9051
OECD members,,,49485020422394.4
Norway,61.3701,9.3031,499338534779.159
Northern Mariana Islands,15.1905,145.7471,845000000
North America,,,19232659728993
Nigeria,9.3417,7.678,568498937587.905
Niger,16.996,9.915,8229732168.33823
Nicaragua,12.692,-85.03,11880438824.4494
New Zealand,-42.558,172.377,200955119873.905
Netherlands,52.1704,5.0102,879635084124.987
Nepal,28.2114,83.5608,20002968837.9471
Nauru,-0.5287,166.9315,117020381.931693
Namibia,-21.276,17.219,12786078008.2376
Myanmar,21.841,96.05,65446402659.1687
Mozambique,-13.852,38.042,16961117243.491
Morocco,31.129,-7.355,109881398474.953
Montenegro,42.857,19.096,4587926230.59573
Mongolia,46.516,102.564,12226514722.0861
Moldova,47.524,28.444,7983271110.60446
Middle East & North Africa (IDA & IBRD countries),,,1584604173217.79
Middle East & North Africa (excluding high income),,,1597411125089.81
Middle East & North Africa,,,3566763468131.32
"Micronesia, Fed. Sts.",7.531,150.457,317999400
Mexico,22.925,-101.68,1314385330073.35
Mauritius,-20.2529,57.5902,12803445933.5894
Mauritania,19.413,-10.6528,5391475277.24326
Marshall Islands,5.961,169.651,183121300
Malta,35.9024,14.4137,11234045376.1444
Mali,18.211,-2.209,14388360064.1162
Maldives,4.221,73.463,3697351596.83753
Malaysia,4.416,102.099,338061963396.376
Malawi,-13.2731,33.7428,6054750320.3278
Madagascar,-19.615,46.645,10673516672.6664
"Macedonia, FYR",41.636,21.676,11362272837.8818
"Macao SAR, China",22.1404,113.5643,55347998647.8196
Luxembourg,49.671,6.113,66327344188.889
Low income,,,554429344381.762
Lithuania,55.342,24.23,48516371720.8346
Liechtenstein,47.1593,9.547,6657170923.37918
Libya,27.24,17.571,41142722414.3351
Liberia,6.51,-9.33,2013000000
Lesotho,-29.446,28.371,2614576996.39661
Lebanon,34.161,36.021,47833413749.1211
Least developed countries: UN classification,,,944663662255.262
Latvia,57.017,25.0173,31335013751.5424
Latin America & the Caribbean (IDA & IBRD countries),,,6187003203791.49
Latin America & Caribbean (excluding high income),,,5344270294030.11
Latin America & Caribbean,,,6404663412438.65
Lao PDR,19.595,102.538,13268458231.9284
Kyrgyz Republic,41.741,75.043,7468096566.71158
Kuwait,29.3169,47.4272,162631412508.784
Kosovo,42.546,20.921,7386891336.07536
"Korea, Rep.",36.338,128.16,1411333926201.24
Kiribati,2.048,-158.59,178869298.720029
Kenya,0.806,38.166,61448046801.7207
Kazakhstan,48.866,69.772,221415572819.5
Jordan,30.681,36.279,35826925774.6479
Japan,35.962,137.855,4850413536037.84
Jamaica,18.163,-77.477,13897723431.3942
Italy,44.3713,11.1084,2151732868243.21
Israel,30.992,34.834,308416982140.362
Isle of Man,54.2362,-4.5149,7428280401.5139
Ireland,53.214,-7.588,258099014042.117
Iraq,33.545,43.278,234648370497.427
"Iran, Islamic Rep.",33.408,54.0418,434474616831.914
Indonesia,-0.739,114.045,890814755233.225
India,22.741,78.236,2039127446299.3
IDA total,,,2101886669975.45
IDA only,,,1035220622681.81
IDA blend,,,1055271972787.79
IDA & IBRD total,,,29510452511451
Iceland,64.826,-18.417,17304033020.5364
IBRD only,,,27417808169925.2
Hungary,47.174,19.618,140118140454.711
"Hong Kong SAR, China",22.4114,114.0599,291459356985.337
Honduras,14.881,-87.123,19756494434.7031
High income,,,51048743606969
Heavily indebted poor countries (HIPC),,,650445161954.419
Haiti,19.3175,-72.4205,8776350789.5993
Guyana,5.17,-58.939,3077086275.94585
Guinea-Bissau,12.191,-14.475,1053512334.25891
Guinea,10.599,-10.907,8765067644.04257
Guatemala,15.124,-90.711,58722323918.1604
Guam,13.45,144.7579,5531000000
Grenada,12.111,-61.6867,911481481.481481
Greenland,71,-39,2837737193.76392
Greece,39.787,21.617,237029579260.722
Ghana,7.258,-1.062,39086625008.6213
Germany,51.3819,9.9877,3890606893346.69
Georgia,42.05,43.576,16509305827.7171
"Gambia, The",13.499,-14.641,833249466.848777
Gabon,-0.406,11.914,18179666879.0389
France,46.656,2.543,2852165760630.27
Fragile and conflict affected situations,,,854436872033.342
Finland,62.716,26.192,272609288689.575
Fiji,-17.7941,177.9783,4483416339.93854
Faroe Islands,62.1252,-7.0174,2810547884.18708
European Union,,,18635535561984.7
Europe & Central Asia (IDA & IBRD countries),,,4624592551758.33
Europe & Central Asia (excluding high income),,,4021783448232.2
Europe & Central Asia,,,23658228163840.5
Euro area,,,13478925371853.1
Ethiopia,8.435,38.786,55612228233.5179
Eswatini,-26.5203,31.4607,4377293816.28535
Estonia,58.777,25.977,26224622450.8302
Equatorial Guinea,1.6342,10.4695,21736500712.9638
El Salvador,13.848,-89.229,22585841200
"Egypt, Arab Rep.",26.16,28.742,305529656458.438
Ecuador,-1.151,-78.308,101726331000
East Asia & Pacific (IDA & IBRD countries),,,12732924778295
East Asia & Pacific (excluding high income),,,12757487627750.3
East Asia & Pacific,,,21914173792948.9
Dominican Republic,19.01,-70.1685,66065015410.0468
Dominica,15.4238,-61.3411,523666333.333333
Djibouti,11.41,42.165,1455035088.74594
Denmark,56.113,9.096,352993633221.281
Czech Republic,49.848,15.2812,207818330723.835
Cyprus,34.894,32.928,23359294148.8656
Cuba,20.571,-76.456,80656100000
Croatia,45.754,16.385,57629518805.8871
Cote d'Ivoire,7.497,-5.336,35372603446.2605
Costa Rica,10.126,-84.075,50577769837.7462
"Congo, Rep.",0.509,16.08,14177437982.2619
"Congo, Dem. Rep.",-1.418,23.607,35917650629.612
Comoros,-11.6527,43.3307,647720707.076428
Colombia,3.794,-73.606,378195716714.266
China,35.1753,99.3877,10482372109961.9
Chile,-23.176,-69.201,260584090570.988
Chad,15.981,18.781,13922223233.5184
Central Europe and the Baltics,,,1463900229119.28
Central African Republic,7.043,21.424,1702899386.14322
Caribbean small states,,,72525038827.606
Canada,59.2067,-111.1937,1799268695861.8
Cameroon,4.4,12.131,34942948737.3967
Cambodia,12.69,104.444,16702610842.4025
Cabo Verde,15.416,-23.36,1858121723.32185
Burundi,-3.333,29.749,3093647226.8107
Burkina Faso,12.673,-1.226,12377391462.6377
Bulgaria,42.625,24.521,56731990231.9902
Brunei Darussalam,4.452,114.557,17098342541.4365
Brazil,-11.694,-48.978,2455993625159.37
Botswana,-22.126,23.662,16250774266.6656
Bosnia and Herzegovina,44.342,17.804,18558343508.3435
Bolivia,-16.71,-65.183,32996187988.4226
Bhutan,27.5342,90.3002,1944782820.88824
Benin,10.478,2.274,9707432015.61441
Belize,17.108,-88.744,1703951050
Belgium,50.6745,4.4588,530770977633.615
Belarus,53.3292,27.9492,78813839984.3506
Barbados,13.1898,-59.559,4608350000
Bangladesh,24.598,90.1963,172885454931.453
Bahrain,26.025,50.5534,33387712765.9575
"Bahamas, The",24.7032,-78.0455,10957300000
Azerbaijan,40.46,47.883,75244294275.1498
Austria,47.65,14.705,441885415805.825
Australia,-24.578,133.582,1464955475993.76
Armenia,40.56,44.449,11609512939.7543
Argentina,-33.166,-64.31,526319673731.638
Arab World,,,2906918403546.86
Antigua and Barbuda,17.625,-61.786,1280133333.33333
Angola,-12.836,17.808,126730196125.425
Andorra,42.5425,1.5893,3350736367.25488
American Samoa,-14.3018,-170.7511,643000000
Algeria,28.6045,2.64,213810022462.428
Albania,40.654,20.076,13228244357.1813
